Designator,Mid X,Mid Y,Layer,Rotation
FID1X11,1.91,48.26,Top,0.00
FID1X12,97.79,51.60,Top,0.00
FID1X21,51.91,48.26,Top,0.00
FID1X22,47.79,51.60,Top,0.00
FID2X11,47.62,8.26,Top,0.00
FID2X12,52.07,91.61,Top,0.00
FID2X21,97.62,8.26,Top,0.00
FID2X22,2.07,91.61,Top,0.00
LED1X11,8.26,27.30,Top,90.00
LED1X12,91.44,72.56,Top,270.00
LED1X21,58.26,27.30,Top,90.00
LED1X22,41.44,72.56,Top,270.00
Q1X11,34.29,27.30,Top,0.00
Q1X12,65.41,72.56,Top,180.00
Q1X21,84.29,27.30,Top,0.00
Q1X22,15.41,72.56,Top,180.00
R1X11,14.61,36.83,Top,180.00
R1X12,85.09,63.03,Top,0.00
R1X21,64.61,36.83,Top,180.00
R1X22,35.09,63.03,Top,0.00
R2X11,8.26,32.38,Top,270.00
R2X12,91.44,67.48,Top,90.00
R2X21,58.26,32.38,Top,270.00
R2X22,41.44,67.48,Top,90.00
R3X11,20.96,32.38,Top,270.00
R3X12,78.74,67.48,Top,90.00
R3X21,70.95,32.38,Top,270.00
R3X22,28.74,67.48,Top,90.00
R4X11,25.40,32.38,Top,270.00
R4X12,74.30,67.48,Top,90.00
R4X21,75.40,32.38,Top,270.00
R4X22,24.30,67.48,Top,90.00
R5X11,29.85,32.38,Top,270.00
R5X12,69.85,67.48,Top,90.00
R5X21,79.84,32.38,Top,270.00
R5X22,19.85,67.48,Top,90.00
R6X11,34.29,32.38,Top,90.00
R6X12,65.41,67.48,Top,270.00
R6X21,84.29,32.38,Top,90.00
R6X22,15.41,67.48,Top,270.00
R7X11,38.73,32.38,Top,270.00
R7X12,60.96,67.48,Top,90.00
R7X21,88.73,32.38,Top,270.00
R7X22,10.96,67.48,Top,90.00
R8X11,20.96,27.30,Top,90.00
R8X12,78.74,72.56,Top,270.00
R8X21,70.95,27.30,Top,90.00
R8X22,28.74,72.56,Top,270.00
R9X11,25.40,27.30,Top,90.00
R9X12,74.30,72.56,Top,270.00
R9X21,75.40,27.30,Top,90.00
R9X22,24.30,72.56,Top,270.00
R10X11,29.85,27.30,Top,90.00
R10X12,69.85,72.56,Top,270.00
R10X21,79.84,27.30,Top,90.00
R10X22,19.85,72.56,Top,270.00
U1X11,14.61,40.64,Top,270.00
U1X12,85.09,59.22,Top,90.00
U1X21,64.61,40.64,Top,270.00
U1X22,35.09,59.22,Top,90.00
U2X11,14.61,31.75,Top,270.00
U2X12,85.09,68.11,Top,90.00
U2X21,64.61,31.75,Top,270.00
U2X22,35.09,68.11,Top,90.00
